Time,A
605,4.808854045
606,4.39364126
607,4.002349194
608,3.497944506
609,3.011403127
610,2.498485261
611,1.965692682
612,1.390456704
613,0.832715682
614,0.35217405
615,-0.053896764
616,-0.317234241
617,-0.512002109
618,-0.610940318
619,-0.759525383
620,-0.895381153
621,-1.031448926
622,-1.192542973
623,-1.237618878
624,-1.255947306
625,-1.212802289
626,-1.221334588
627,-1.376938093
628,-1.556678953
629,-1.66933529
630,-1.775304901
631,-1.747937137
632,-1.716253084
633,-1.728947587
634,-1.717371916
635,-1.736815529
636,-1.744634719
637,-1.767197945
638,-1.818989844
639,-1.861462641
640,-1.938010355
641,-1.98372639
642,-2.044670173
643,-2.084789602
644,-2.021773148
645,-1.94474847
646,-1.844492288
647,-1.794424521
648,-1.808899694
649,-1.804422065
650,-1.859501721
651,-1.854888187
652,-1.882487254
653,-2.065213035
654,-2.028347902
655,-1.972504265
656,-1.974047066
657,-2.020326644
658,-2.012588635
659,-2.022813514
660,-1.998338422
661,-1.963174748
662,-2.001359539
663,-2.045712729
664,-2.040828301
665,-2.047941658
666,-2.056875584
667,-2.077096873
668,-2.08819417
669,-2.09215389
670,-2.020278783
671,-1.982076212
672,-2.029675101
673,-2.066602873
674,-2.126504714
675,-2.144008104
676,-2.116757549
677,-2.065382111
678,-2.026952259
679,-2.048002741
680,-2.081146379
681,-2.090156657
682,-2.082769302
683,-2.038800833
684,-1.991395029
685,-2.001131019
686,-2.019668321
687,-2.043474435
688,-2.033403638
689,-2.036109298
690,-2.058918133
691,-2.082979177
692,-2.105661361
693,-2.095264902
694,-2.085124442
695,-2.064913961
696,-2.030192529
697,-2.052536525
698,-2.05641696
699,-2.060930711
700,-2.096053815
701,-2.055490289
702,-2.043884822
703,-2.00457548
704,-1.995366033
705,-2.023123728
706,-2.009055189
707,-2.006246005
708,-1.990321209
709,-1.969132014
710,-1.949988155
711,-1.959257657
712,-1.943630207
713,-1.919141264
714,-1.8885818
715,-1.792179815
716,-1.867698002
717,-1.950384025
718,-2.146509179
719,-2.060586909
720,-2.024048111
721,-1.96756233
722,-1.937914074
723,-1.880295706
724,-1.86463211
725,-1.825914178
726,-1.791134863
727,-1.831654659
728,-1.845010607
729,-1.898528285
730,-1.93538775
731,-1.952944519
732,-1.913518972
733,-1.731953976
734,-1.79048825
735,-1.761290443
736,-1.830410179
737,-1.848815293
738,-1.815264101
739,-1.825994902
740,-1.79469573
741,-1.766461864
742,-1.796582392
743,-1.805449606
744,-1.774624992
745,-1.792613003
746,-1.76938837
747,-1.756645058
748,-1.794137574
749,-1.788931383
750,-1.765356417
751,-1.764369749
752,-1.751155587
753,-1.733054297
754,-1.739241272
755,-1.709252993
756,-1.70467525
757,-1.704624523
758,-1.680906433
759,-1.691724642
760,-1.695048275
761,-1.726917037
762,-1.749265969
763,-1.725827571
764,-1.692610814
765,-1.630639875
766,-1.614363517
767,-1.606816133
768,-1.619834417
769,-1.62168925
770,-1.588482105
771,-1.618770888
772,-1.567964186
773,-1.543307598
774,-1.548290844
775,-1.511128101
776,-1.562988751
777,-1.580757021
778,-1.595407288
779,-1.595876975
780,-1.558876622
781,-1.516176487
782,-1.483369139
783,-1.490244914
784,-1.489956486
785,-1.521333048
786,-1.511601725
787,-1.481118003
788,-1.485282667
789,-1.486570783
790,-1.53106826
791,-1.532950561
792,-1.521056214
793,-1.520410428
794,-1.55818121
795,-1.597061865
796,-1.589673938
797,-1.548444661
798,-1.475678354
799,-1.445020241
800,-1.454453725
801,-1.493579134
802,-1.535673605
803,-1.52033739
804,-1.469796605
805,-1.208696947
806,-1.180050256
807,-1.373298473
808,-1.523698252
809,-1.544511313
810,-1.497214885
811,-1.43489894
812,-1.418081615
813,-1.489702356
814,-1.563181096
815,-1.577925359
816,-1.560090788
817,-1.563338543
818,-1.512897635
819,-1.474240029
820,-1.46772034
821,-1.398843417
822,-1.351842824
823,-1.349393403
824,-1.360091485
825,-1.409482675
826,-1.427327655
827,-1.381157424
828,-1.344475571
829,-1.300059077
830,-1.334005776
831,-1.427390353
832,-1.491117089
833,-1.463371349
834,-1.406371657
835,-1.32685676
836,-1.297191215
837,-1.345575992
838,-1.360779619
839,-1.335374784
840,-1.307684058
841,-1.310607383
842,-1.346559782
843,-1.392786447
844,-1.431281792
845,-1.394170953
846,-1.348845585
847,-1.35310325
848,-1.337287982
849,-1.333725879
850,-1.325495216
851,-1.294332668
852,-1.240236487
853,-1.254139062
854,-1.316643971
855,-1.357804024
856,-1.384049349
857,-1.361638909
858,-1.313414413
859,-1.272153308
860,-1.252167056
861,-1.283377021
862,-1.292922171
863,-1.305087592
864,-1.31301131
865,-1.317121808
866,-1.3031576
867,-1.312766848
868,-1.308654174
869,-1.318690416
870,-1.317567982
871,-1.284271936
872,-1.25640697
873,-1.226956265
874,-1.233471936
875,-1.288893589
876,-1.344907646
877,-1.332673131
878,-1.298854688
879,-1.250222022
880,-1.218661245
881,-1.243593986
882,-1.267778116
883,-1.281770224
884,-1.288350051
885,-1.23858229
886,-1.20821049
887,-1.205022158
888,-1.233382453
889,-1.29185601
890,-1.31748721
891,-1.289915329
892,-1.274274756
893,-1.242593091
894,-1.232331174
895,-1.278947453
896,-1.258490539
897,-1.213014082
898,-1.206365396
899,-1.19044645
900,-1.220723249
901,-1.272957632
902,-1.273660558
903,-1.266219648
904,-1.255371929
905,-1.193716919
906,-1.23373521
907,-1.099360094
908,-0.99103047
909,-1.088967379
910,-1.137943597
911,-1.179603812
912,-1.230118119
913,-1.25872174
914,-1.310721722
915,-1.268023303
916,-1.220389705
917,-1.129328096
918,-1.143885656
919,-1.198420857
920,-1.268499656
921,-1.245553436
922,-1.225082517
923,-1.284328871
924,-1.274845503
925,-1.255553782
926,-1.134007723
927,-1.049125825
928,-1.017958895
929,-1.086452345
930,-1.163457891
931,-1.138544049
932,-1.100727126
933,-1.053896036
934,-1.051804072
935,-1.111698611
936,-1.327710622
937,-1.420354271
938,-1.345014861
939,-1.140168705
940,-1.051599053
941,-1.030762713
942,-1.082688407
943,-1.163387994
944,-1.193302361
945,-1.168631154
946,-1.134256331
947,-1.123982564
948,-1.115075922
949,-1.091052151
950,-1.05274125
951,-1.015574237
952,-1.004663862
953,-1.033091706
954,-1.058325718
955,-1.062300857
956,-1.08616715
957,-1.128357595
958,-1.159879468
959,-1.164509765
960,-1.1213022
961,-1.086672857
962,-1.062280542
963,-1.073481712
964,-1.089693968
965,-1.079890774
966,-1.078688099
967,-1.056954627
968,-1.111330749
969,-1.209530129
970,-1.250920999
971,-1.296836352
972,-1.285001925
973,-1.246924092
974,-1.231990421
975,-1.208853058
976,-1.135938174
977,-1.075423798
978,-1.037575785
979,-1.007743012
980,-1.035337407
981,-1.00620974
982,-0.948823856
983,-1.126182181
984,-1.106288033
985,-1.077319513
986,-1.063323434
987,-1.089133534
988,-1.153721543
989,-1.085177838
990,-1.019542676
991,-0.944867661
992,-1.11735927
993,-1.292235938
994,-1.25699004
995,-1.201648116
996,-1.045102833
997,-0.97554857
998,-0.980003761
999,-0.96829357
1000,-1.00442751
1001,-1.035662212
1002,-1.086032573
1003,-1.172561695
1004,-1.216908067
1005,-1.221378384
1006,-1.185414848
1007,-1.096481191
1008,-1.034885737
1009,-1.039894379
1010,-1.011843118
1011,-0.960191909
1012,-0.976692543
1013,-1.000917566
1014,-1.056755936
1015,-1.103552868
1016,-1.079198885
1017,-1.048200504
1018,-1.05491075
1019,-1.08596477
1020,-1.087065199
1021,-1.064895615
1022,-1.02226737
1023,-0.991322099
1024,-0.971494467
1025,-0.961802921
1026,-0.956460217
1027,-0.961585969
1028,-0.961408461
1029,-0.944875776
1030,-0.904870002
1031,-0.897470287
1032,-0.910254932
1033,-0.924539612
1034,-0.959642019
1035,-0.985663887
1036,-0.999231842
1037,-1.019061188
1038,-1.017265536
1039,-0.999268466
1040,-1.012264891
1041,-1.037033641
1042,-1.065322663
1043,-1.068732478
1044,-1.055899128
1045,-1.054782024
1046,-1.096824353
1047,-1.11579128
1048,-1.127155512
1049,-1.096941274
1050,-1.053210924
1051,-1.070309935
1052,-1.053310397
1053,-1.018235115
1054,-0.987115883
1055,-0.958348723
1056,-0.944454305
1057,-0.978751899
1058,-0.996547533
1059,-0.977582793
1060,-1.005253022
1061,-1.044881559
1062,-1.064910706
1063,-1.05489968
1064,-1.021835645
1065,-0.964368555
1066,-0.94159571
1067,-0.966395911
1068,-0.999524436
1069,-1.031016762
1070,-1.018966458
1071,-1.02824119
1072,-1.001595141
1073,-0.952852404
1074,-0.923481799
1075,-0.844618234
1076,-0.822277459
1077,-0.845292868
1078,-0.885798154
1079,-0.948623759
1080,-0.977486944
1081,-0.973033062
1082,-0.966136531
1083,-0.94728958
1084,-0.934851217
1085,-0.950653372
1086,-1.008130484
1087,-1.061767245
1088,-1.08550263
1089,-1.067960255
1090,-1.028529159
1091,-0.817228623
1092,-0.775041108
1093,-0.904751294
1094,-0.989074435
1095,-1.008166817
1096,-1.063859664
1097,-1.079103244
1098,-1.071481503
1099,-1.024974899
1100,-0.965938584
1101,-0.765017531
1102,-0.742582622
1103,-0.837677024
1104,-0.940619637
1105,-1.01886447
1106,-1.081422916
1107,-1.204359634
1108,-1.097747718
1109,-0.984062444
1110,-0.917928714
1111,-0.951961661
1112,-0.968157419
1113,-0.950749738
1114,-0.947879579
1115,-0.923430981
1116,-0.93863622
1117,-0.985521492
1118,-0.994062011
1119,-0.948930212
1120,-0.95661422
1121,-0.999761239
1122,-0.998217616
1123,-1.002263197
1124,-0.967705578
1125,-0.891399038
1126,-0.866088329
1127,-0.853444818
1128,-0.824525849
1129,-0.806886571
1130,-0.84461521
1131,-0.881755464
1132,-0.896425537
1133,-0.928833876
1134,-0.905077305
1135,-0.940160815
1136,-0.987593801
1137,-0.997407191
1138,-1.026091813
1139,-1.00092635
1140,-1.006199837
1141,-1.023583076
1142,-1.044800169
1143,-1.037629889
1144,-1.007999763
1145,-0.985755542
1146,-0.948706501
1147,-0.712842824
1148,-0.759777392
1149,-0.890765213
1150,-0.954695596
1151,-0.991726038
1152,-0.943799161
1153,-0.999577201
1154,-0.863438396
1155,-0.891920041
1156,-0.826424761
1157,-0.771199125
1158,-0.821177634
1159,-0.830328334
1160,-0.974014314
1161,-1.011842564
1162,-1.031351185
1163,-0.977565198
1164,-0.918938248
1165,-0.91757317
1166,-0.928291692
1167,-0.930853033
1168,-0.914910049
1169,-0.937666672
1170,-0.876664317
1171,-0.949506508
1172,-0.835306361
1173,-0.917397786
1174,-1.03635469
1175,-1.085296097
1176,-1.100197894
1177,-1.03855472
1178,-0.794612093
1179,-0.718328402
1180,-0.750054146
1181,-0.898811353
1182,-0.977616372
1183,-0.947071551
1184,-0.874125788
1185,-0.872283332
1186,-0.856823026
1187,-0.839696209
1188,-0.859936123
1189,-0.804973165
1190,-0.800727301
1191,-0.821174965
1192,-0.825729927
1193,-0.844087794
1194,-0.819833015
1195,-0.780139768
1196,-0.789675781
1197,-0.79129137
1198,-0.846322941
1199,-0.88770698
1200,-0.83988565
1201,-0.846708782
1202,-0.811441966
1203,-0.820908001
1204,-0.909856908
1205,-1.146176045
1206,-1.181601131
1207,-1.105989043
1208,-0.974648461
1209,-0.851798109
1210,-0.851149586
1211,-0.897586494
1212,-0.943498783
1213,-0.953130637
1214,-0.943510658
1215,-0.899222187
1216,-0.873349898
1217,-0.873907722
1218,-0.880827026
1219,-0.907850229
1220,-0.903710659
1221,-0.913393661
1222,-0.928163545
1223,-0.943472128
1224,-0.952544751
1225,-0.932707049
1226,-0.929197468
1227,-0.899102734
1228,-0.913994165
1229,-0.941220115
1230,-0.937111125
1231,-0.930648052
1232,-0.881545888
1233,-0.872789882
1234,-0.874969006
1235,-0.902612903
1236,-0.923410482
1237,-0.88476687
1238,-0.860097453
1239,-0.862393102
1240,-0.880434236
1241,-0.941094702
1242,-0.948524724
1243,-0.927673482
1244,-0.890200522
1245,-0.876387725
1246,-0.922289165
1247,-0.959042851
1248,-0.999560859
1249,-0.952606185
1250,-0.861816013
1251,-0.632652396
1252,-0.564016591
1253,-0.697967807
1254,-0.807252107
1255,-0.863709457
1256,-0.893843531
1257,-0.903530267
1258,-0.891723772
1259,-0.844010605
1260,-0.829886498
1261,-0.801380459
1262,-0.879494749
1263,-0.930066233
1264,-0.981117574
1265,-0.995547814
1266,-0.946633596
1267,-0.92795638
1268,-0.889600437
1269,-0.918471528
1270,-0.928308286
1271,-0.930474978
1272,-0.921776245
1273,-0.872616951
1274,-0.850101745
1275,-0.882869347
1276,-0.902539979
1277,-0.883290549
1278,-0.881055963
1279,-0.855548105
1280,-0.814352279
1281,-0.842817324
1282,-0.842873904
1283,-0.820597684
1284,-0.824037051
1285,-0.859094051
1286,-0.910207265
1287,-0.924129493
1288,-0.926002571
1289,-0.877722245
1290,-0.813492321
1291,-0.800406606
1292,-0.827838392
1293,-0.865917824
1294,-0.907873557
1295,-0.909458911
1296,-0.907574781
1297,-0.921881808
1298,-0.884150519
1299,-0.852855794
1300,-0.8637858
1301,-0.88155193
1302,-0.918018568
1303,-0.938314026
1304,-0.898613993
1305,-0.816986036
1306,-0.796048703
1307,-0.832845773
1308,-0.859770965
1309,-0.863788636
1310,-0.874995161
1311,-0.839775477
1312,-0.80122036
1313,-0.781756286
1314,-0.755226553
1315,-0.753984387
1316,-0.777323662
1317,-0.813277292
1318,-0.842068549
1319,-0.835657872
1320,-0.824505503
1321,-0.813893589
1322,-0.801172692
1323,-0.816954807
1324,-0.841566489
1325,-0.857137998
1326,-0.832054655
1327,-0.826095132
1328,-0.841931296
1329,-0.844944604
1330,-0.85392664
1331,-0.848259699
1332,-0.829974468
1333,-0.817268654
1334,-0.819606912
1335,-0.832651685
1336,-0.802271438
1337,-0.808991814
1338,-0.798789523
1339,-0.833037554
1340,-0.848619171
1341,-0.861233623
1342,-0.90020987
1343,-0.877296486
1344,-0.891318556
1345,-0.86385955
1346,-0.839644839
1347,-0.844235892
1348,-0.840173588
1349,-0.821224254
1350,-0.807497596
1351,-0.801386704
1352,-0.808566417
1353,-0.833434538
1354,-0.859228157
1355,-0.86221104
1356,-0.843542327
1357,-0.848617639
1358,-0.825423934
1359,-0.807997811
1360,-0.832038309
1361,-0.845852034
1362,-0.835398227
1363,-0.817729365
1364,-0.766616286
1365,-0.750882356
1366,-0.770113558
1367,-0.788768381
1368,-0.841870033
1369,-0.868428738
1370,-0.851968169
1371,-0.850521554
1372,-0.818753272
1373,-0.781247881
1374,-0.7886387
1375,-0.784134517
1376,-0.756240307
1377,-0.75057004
1378,-0.737799081
1379,-0.752056136
1380,-0.783688399
1381,-0.792860233
1382,-0.830088421
1383,-0.840592048
1384,-0.834127351
1385,-0.819640553
1386,-0.767744578
1387,-0.73438674
1388,-0.755255975
1389,-0.801997757
1390,-0.83048024
1391,-0.884467952
1392,-0.879486588
1393,-0.85260463
1394,-0.867423141
1395,-0.824028931
1396,-0.808840321
1397,-0.824823309
1398,-0.818328378
1399,-0.840539209
1400,-0.890110943
1401,-0.894857307
1402,-0.886196281
1403,-0.825547275
1404,-0.788045835
1405,-0.767756059
1406,-0.759792748
1407,-0.769309104
1408,-0.766478909
1409,-0.751488874
1410,-0.756649795
1411,-0.750910788
1412,-0.730557112
1413,-0.730329619
1414,-0.76199731
1415,-0.80028296
1416,-0.820532887
1417,-0.848822943
1418,-0.814787525
1419,-0.760619769
1420,-0.738841056
1421,-0.729172391
1422,-0.744673219
1423,-0.784813762
1424,-0.813571888
1425,-0.843795329
1426,-0.871376516
1427,-0.854645747
1428,-0.799194103
1429,-0.736482143
1430,-0.696926737
1431,-0.694140685
1432,-0.708164533
1433,-0.718936594
1434,-0.724250368
1435,-0.750086807
1436,-0.7561825
1437,-0.742435548
1438,-0.714848657
1439,-0.746794343
1440,-0.798188489
1441,-0.781895194
1442,-0.747768394
1443,-0.6984931
1444,-0.680447792
1445,-0.767615845
1446,-0.847705189
1447,-0.842975736
1448,-0.787525768
1449,-0.758073918
1450,-0.743823261
1451,-0.763389985
1452,-0.821874323
1453,-0.809471526
1454,-0.794993717
1455,-0.758585229
1456,-0.739151442
1457,-0.745182248
1458,-0.742732861
1459,-0.749873864
1460,-0.71075077
1461,-0.705884386
1462,-0.730839725
1463,-0.738282202
1464,-0.763483398
1465,-0.784766212
1466,-0.75933077
1467,-0.762328269
1468,-0.748567111
1469,-0.702476888
1470,-0.693944415
1471,-0.702550296
1472,-0.72483913
1473,-0.730610656
1474,-0.731591044
1475,-0.695610462
1476,-0.692193589
1477,-0.675984479
1478,-0.644082254
1479,-0.655488886
1480,-0.661370985
1481,-0.690942605
1482,-0.690419426
1483,-0.686611164
1484,-0.691757991
1485,-0.714247435
1486,-0.785474886
1487,-0.824314885
1488,-0.806192578
1489,-0.810963937
1490,-0.808561666
1491,-0.797859633
1492,-0.793804009
1493,-0.78066132
1494,-0.781062529
1495,-0.776097456
1496,-0.788133758
1497,-0.763426283
1498,-0.710212888
1499,-0.68818186
1500,-0.666296743
1501,-0.663034586
1502,-0.682447928
1503,-0.683608825
1504,-0.69744765
1505,-0.733721951
1506,-0.762304001
1507,-0.788382926
1508,-0.780386596
1509,-0.763175227
1510,-0.75241708
1511,-0.745762543
1512,-0.753393598
1513,-0.724722759
1514,-0.711216008
1515,-0.746539122
1516,-0.761211189
1517,-0.780904668
1518,-0.77176249
1519,-0.738271192
1520,-0.705348608
1521,-0.683850925
1522,-0.720833762
1523,-0.746423412
1524,-0.772511543
1525,-0.784324036
1526,-0.758723433
1527,-0.728358462
1528,-0.724188536
1529,-0.75154803
1530,-0.772853735
1531,-0.781644447
1532,-0.76723895
1533,-0.754529828
1534,-0.708878212
1535,-0.688625184
1536,-0.673304418
1537,-0.682365822
1538,-0.69308767
1539,-0.722966303
1540,-0.760129194
1541,-0.745430539
1542,-0.771578976
1543,-0.799903059
